treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "_Valuables_Generic"
new treasuretable "MetalBars_Mithral_Supply"
new subtable "2,1;3,1;4,1"
object category "I_OBJ_Metalbar_Mithral",1,0,0,0,0,0,0,0
new treasuretable "Valuables_MetalBars"
new subtable "1,1"
StartLevel "1"
EndLevel "2"
object category "I_OBJ_Metalbar_Bronze",4,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Silver",2,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Gold",0,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Mithral",0,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "3"
EndLevel "4"
object category "I_OBJ_Metalbar_Bronze",3,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Silver",3,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Gold",1,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Mithral",0,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "6"
object category "I_OBJ_Metalbar_Bronze",2,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Silver",4,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Gold",2,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Mithral",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "7"
EndLevel "8"
object category "I_OBJ_Metalbar_Bronze",1,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Silver",3,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Gold",3,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Mithral",2,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
object category "I_OBJ_Metalbar_Bronze",0,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Silver",2,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Gold",4,0,0,0,0,0,0,0
object category "I_OBJ_Metalbar_Mithral",3,0,0,0,0,0,0,0
new treasuretable "Kitchen_Cooking"
new subtable "1,1"
object category "I_PF2_WPN_FryingPan_A",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_FryingPan_B",1,0,0,0,0,0,0,0
object category "I_OBJ_Kitchenware_Pot",1,0,0,0,0,0,0,0
object category "I_OBJ_Kitchenware_Pot_B",1,0,0,0,0,0,0,0
object category "I_OBJ_Kitchenware_Pot_C",1,0,0,0,0,0,0,0
object category "I_OBJ_Kitchenware_Pot_Drum",1,0,0,0,0,0,0,0
object category "I_OBJ_Kitchenware_Pot_Lid",1,0,0,0,0,0,0,0
object category "I_OBJ_Cauldron",1,0,0,0,0,0,0,0
object category "I_OBJ_Cauldron_B",1,0,0,0,0,0,0,0
object category "I_OBJ_Cauldron_C",1,0,0,0,0,0,0,0
object category "I_OBJ_Cauldron_Lid",1,0,0,0,0,0,0,0
object category "I_OBJ_Cauldron_Lid_B",1,0,0,0,0,0,0,0
object category "I_OBJ_Cauldron_Lid_C",1,0,0,0,0,0,0,0
object category "I_OBJ_MilkCan",1,0,0,0,0,0,0,0
new treasuretable "_Equipment_Weapons"
new treasuretable "ST_SimpleMeleeWeapons"
new subtable "1,1"
object category "I_WPN_Club",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger",1,0,0,0,0,0,0,0
object category "I_WPN_Handaxe",1,0,0,0,0,0,0,0
object category "I_WPN_Javelin",1,0,0,0,0,0,0,0
object category "I_WPN_LightHammer",1,0,0,0,0,0,0,0
object category "I_WPN_Mace",1,0,0,0,0,0,0,0
object category "I_WPN_Quarterstaff",1,0,0,0,0,0,0,0
object category "I_WPN_Sickle",1,0,0,0,0,0,0,0
object category "I_WPN_Spear",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_BattleLute_A",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_BattleLute_B",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_BattleLute_C",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_FryingPan_A",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_FryingPan_B",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Palstave",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_WarGavel",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Longspear",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Thundermace",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Karambit",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_LightMace",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Longspear",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Thundermace",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Wakizashi",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_WishKnife",1,0,0,0,0,0,0,0
new treasuretable "ST_MartialMeleeWeapons"
new subtable "1,1"
object category "I_WPN_Battleaxe",1,0,0,0,0,0,0,0
object category "I_WPN_Flail",1,0,0,0,0,0,0,0
object category "I_WPN_Glaive",1,0,0,0,0,0,0,0
object category "I_WPN_Greataxe",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword",1,0,0,0,0,0,0,0
object category "I_WPN_Halberd",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword",1,0,0,0,0,0,0,0
object category "I_WPN_Maul",1,0,0,0,0,0,0,0
object category "I_WPN_Morningstar",1,0,0,0,0,0,0,0
object category "I_WPN_Pike",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier",2,0,0,0,0,0,0,0
object category "I_WPN_Scimitar",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword",1,0,0,0,0,0,0,0
object category "I_WPN_Trident",1,0,0,0,0,0,0,0
object category "I_WPN_WarPick",1,0,0,0,0,0,0,0
object category "I_WPN_Warhammer",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_BastardSword",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_BecDeCorbin",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_BoardingAxe",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_BoardingPike",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_BoStaff",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_BreachingPike",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Broadspear",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_ButcheringAxe",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_CapturingSpetum",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_CombatFishingPole",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_CombatFishingPole_B",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_CombatFishingPole_C",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Cruuk",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_DancerSpear",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Dwarven_Waraxe",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_DwarvenDornDergar",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Earthbreaker",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_ElvenBranchedSpear",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_ElvenCurveBlade",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Falcata",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Falchion",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Fauchard",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_FightingStick",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_FilchersFork",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Flyssa",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Gada",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Gaff",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Gladius",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_GnomeFlickmace",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_GnomeHookedHammer",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Greatpick",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Guisarme",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Harpoon",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Hatchet",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Horsechopper",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_JiuHuanDao",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Kalis",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Kama",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Karambit",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Katana",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Khopesh",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Kris",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Kukri",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Lance",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Leiomano",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_LightPick",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_LionScythe",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Liuyedao",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_LongHammer",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Machete",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Macuahuitl",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Main-Gauche",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Nodachi",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_OrcNecksplitter",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_OrcSkewermaul",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Panabas",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Pick",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Ranseur",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Sap",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Scythe",1,0,0,0,0,0,0,0
